RefDes     X          Y          Rot.       Exact     (FREE)    Side
SB15       20.4500    26.6000    090        EXACT     (FREE)    Bottom                        
SB16       15.0500    32.9500    090        EXACT     (FREE)    Bottom                        
SB17       15.0500    37.8000    180        EXACT     (FREE)    Bottom                        
SB18       60.6250    04.4250    090        EXACT     (FREE)    Bottom                        
SB19       55.3000    54.7000    270        EXACT     (FREE)    Bottom                        
SB20       03.9750    50.0500    270        EXACT     (FREE)    Bottom                        
ST1        59.0500    67.3250    090        EXACT     (FREE)    Top                           
ST2        00.4500    10.1500    180        EXACT     (FREE)    Top                           
ST3        71.2750    54.4500    270        EXACT     (FREE)    Top                           
ST4        -00.3250   33.5000    000        EXACT     (FREE)    Top                           
T1         -01.2000   06.7500    180        EXACT     (FREE)    Top                           
TP1        10.6000    22.2000    000        EXACT     (FREE)    Top                           
TP2        11.9000    22.2000    000        EXACT     (FREE)    Top                           
TP3        63.1250    23.7250    000        EXACT     (FREE)    Top                           
U1         68.3500    11.8250    000        EXACT     (FREE)    Top                           
U2         36.5250    56.4250    270        EXACT     (FREE)    Top                           
U3         41.7750    55.0500    180        EXACT     (FREE)    Top                           
U4         46.5750    56.1750    180        EXACT     (FREE)    Top                           
U5         11.4500    37.3500    270        EXACT     (FREE)    Top                           
U6         -02.2250   37.8500    090        EXACT     (FREE)    Top                           
U7         06.9500    18.3500    270        EXACT     (FREE)    Top                           
U8         07.2500    25.8000    000        EXACT     (FREE)    Top                           
U9         14.7000    18.3500    270        EXACT     (FREE)    Top                           
U10        15.7000    25.8000    000        EXACT     (FREE)    Top                           
U11        97.4500    47.8500    000        EXACT     (FREE)    Top                           
U12        23.3000    30.7000    090        EXACT     (FREE)    Top                           
U13        23.3000    37.1750    090        EXACT     (FREE)    Top                           
U14        73.1000    01.9250    180        EXACT     (FREE)    Top                           
U15        23.5250    46.6250    180        EXACT     (FREE)    Top                           
U16        11.5250    48.9500    000        EXACT     (FREE)    Top                           
U17        56.5000    54.5000    000        EXACT     (FREE)    Top                           
U18        84.7000    -00.6000   090        EXACT     (FREE)    Top                           
U19        56.4500    55.7500    270        EXACT     (FREE)    Top                           
U20        17.5250    48.9000    180        EXACT     (FREE)    Top                           
U21        84.7000    03.4000    270        EXACT     (FREE)    Top                           
U22        84.7000    07.5250    270        EXACT     (FREE)    Top                           
U23        65.7000    23.7000    000        EXACT     (FREE)    Top                           
U24        79.9500    06.5500    090        EXACT     (FREE)    Top                           
U25        56.5000    53.4000    270        EXACT     (FREE)    Top                           
U26        56.4000    57.5500    270        EXACT     (FREE)    Top                           
U27        11.2000    25.9750    000        EXACT     (FREE)    Top                           
U42        55.3000    57.9500    090        EXACT     (FREE)    Top                           
X1         00.0000    00.0000    000        EXACT     (FREE)    Top                           
X2         00.0000    70.0000    000        EXACT     (FREE)    Top                           
X3         78.0000    70.0000    000        EXACT     (FREE)    Top                           
X4         78.0000    00.0000    000        EXACT     (FREE)    Top                           
X5         103.0000   50.0000    000        EXACT     (FREE)    Top                           
Y1         05.7750    50.8000    090        EXACT     (FREE)    Top                           
